名詞,,サ変名詞,,形容動詞,,組織名,,人名,,地名,,ナイ形容,,副詞可能,,未知語,,タグ,,感動詞,,動詞,,形容詞,,副詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,,形容詞（非自立）,
子供,34,睡眠,25,健康,16,ミズノ,9,新田,22,摂津,2,問題,8,今,38,マミークリスタル,7,高齢者,23,ありがとう,42,思う,117,多い,10,特に,11,あたり,6,する,228,すごい,40,ちょっと,78,風,22,ない,119,いい,6
ママ,23,お話,20,非常,16,パナソニック,3,阿部,4,日本,2,申し訳,5,今日,15,ファストレ,5,エビデンス,13,はい,17,言う,31,面白い,7,本当に,10,あと,3,ある,105,いい,36,やっぱり,38,人,18,ん,5,にくい,4
お母さん,19,話,17,重要,13,アクティブ,1,西川,4,横浜,1,仕方,3,時間,13,AVC,2,0歳,11,すみません,12,分かる,27,良い,7,色々,9,たん,3,なる,68,ない,18,どう,20,形,12,ぬ,1,やすい,3
コミュニティ,19,運動,11,大事,9,ヨドバシカメラ,1,井上,3,関西,1,,,たくさん,10,IT,2,3歳,10,なんか,10,居る,18,新しい,6,多分,9,ところ,3,いう,65,よろしい,3,そう,18,先,11,,,良い,3
データ,18,活動,11,大変,7,,,宮本,2,吹田,1,,,一番,8,SNS,2,家電製品,10,すいません,8,作る,16,悪い,5,実際,8,おじいちゃん,2,できる,45,うまい,2,やはり,15,辺,10,,,欲しい,1
一つ,18,お願い,10,元気,5,,,笹倉,2,西水,1,,,今回,5,アリオ,2,コンサル,7,なるほど,5,持つ,16,高い,4,結構,5,とこ,2,やる,35,ものすごい,2,よく,13,脳,8,,,,
お子さん,13,一緒,10,いかが,4,,,北詰,2,大阪,1,,,場合,5,タント,2,子供さん,7,そうですね,4,出る,15,上手い,4,何とか,4,まち,2,いらっしゃる,8,ありがたい,1,もう,12,子,7,,,,
ニーズ,12,子育て,9,可能,4,,,育,1,,,,,今後,4,プレイリーダー,2,参加率,6,ほんと,3,行く,14,楽しい,3,全然,4,おじさん,1,おっしゃる,8,ちょろい,1,こう,11,家,6,,,,
企業,11,仕事,8,急,4,,,岡田,1,,,,,昔,4,AED,1,摂津市,6,いえいえ,1,聞く,14,凄い,3,一旦,3,おっぱい,1,しれる,8,っぽい,1,ぜひ,11,逆,6,,,,
